"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"18/01/2019","1,282.60","1,291.90","1,292.20","1,280.10","225.57K","-0.75%"
"17/01/2019","1,292.30","1,293.90","1,295.00","1,288.30","191.98K","-0.12%"
"16/01/2019","1,293.80","1,289.60","1,295.40","1,287.60","181.39K","0.42%"
"15/01/2019","1,288.40","1,292.40","1,294.80","1,286.50","242.07K","-0.22%"
"14/01/2019","1,291.30","1,288.00","1,296.60","1,287.70","221.89K","0.14%"
"11/01/2019","1,289.50","1,287.60","1,295.70","1,287.00","210.64K","0.16%"
"10/01/2019","1,287.40","1,294.70","1,298.00","1,286.70","239.92K","-0.36%"
"09/01/2019","1,292.00","1,286.10","1,295.00","1,280.90","245.97K","0.47%"
"08/01/2019","1,285.90","1,289.90","1,291.40","1,280.20","221.92K","-0.31%"
"07/01/2019","1,289.90","1,287.00","1,297.00","1,284.10","204.68K","0.32%"
"04/01/2019","1,285.80","1,296.50","1,300.40","1,278.10","316.06K","-0.70%"
"03/01/2019","1,294.80","1,288.50","1,296.90","1,286.40","244.54K","0.83%"
"02/01/2019","1,284.10","1,285.00","1,291.00","1,280.60","235.33K","0.22%"
"31/12/2018","1,281.30","1,283.00","1,286.50","1,279.70","113.26K","-0.13%"
"28/12/2018","1,283.00","1,278.00","1,284.70","1,276.50","162.73K","0.44%"
"27/12/2018","1,277.40","1,265.30","1,277.50","1,265.30","0.48K","0.66%"
"26/12/2018","1,269.00","1,268.50","1,278.10","1,263.80","0.40K","0.09%"
"24/12/2018","1,267.90","1,258.40","1,269.60","1,258.20","0.74K","1.06%"
"21/12/2018","1,254.60","1,260.60","1,262.00","1,254.20","0.66K","-0.74%"
"20/12/2018","1,263.90","1,244.30","1,265.70","1,242.30","0.77K","0.90%"
"19/12/2018","1,252.60","1,250.00","1,258.20","1,241.60","0.60K","0.20%"
"18/12/2018","1,250.10","1,246.30","1,250.40","1,246.10","0.23K","0.15%"
"17/12/2018","1,248.20","1,236.30","1,248.30","1,236.30","0.24K","0.83%"
"14/12/2018","1,237.90","1,242.30","1,243.20","1,233.10","0.38K","-0.47%"
"13/12/2018","1,243.70","1,245.50","1,247.50","1,241.20","0.33K","-0.19%"
"12/12/2018","1,246.10","1,244.90","1,247.50","1,243.70","0.43K","0.27%"
"11/12/2018","1,242.80","1,245.70","1,250.50","1,242.30","0.50K","-0.17%"
"10/12/2018","1,244.90","1,251.40","1,251.80","1,242.60","1.59K","-0.26%"
"07/12/2018","1,248.20","1,239.10","1,251.40","1,239.10","1.56K","0.69%"
"06/12/2018","1,239.70","1,240.60","1,246.10","1,236.90","1.64K","0.05%"
"05/12/2018","1,239.10","1,240.80","1,241.10","1,236.40","1.12K","-0.34%"
"04/12/2018","1,243.30","1,233.40","1,244.50","1,233.40","1.84K","0.52%"
"03/12/2018","1,236.90","1,225.40","1,237.40","1,224.20","0.94K","1.09%"
"30/11/2018","1,223.60","1,227.50","1,228.60","1,219.40","0.60K","-0.35%"
"29/11/2018","1,227.90","1,224.20","1,232.20","1,224.20","1.71K","0.35%"
"28/11/2018","1,223.60","1,214.30","1,227.70","1,210.50","247.17K","0.84%"
"27/11/2018","1,213.40","1,222.60","1,225.20","1,211.40","307.89K","-0.74%"
"26/11/2018","1,222.40","1,223.90","1,228.60","1,221.70","267.32K","-0.07%"
"23/11/2018","1,223.20","1,226.80","1,229.70","1,220.30","240.35K","0.00%"
"22/11/2018","1,223.20","1,227.80","1,229.20","1,220.30","240.35K","-0.39%"
"21/11/2018","1,228.00","1,222.40","1,230.90","1,220.10","227.21K","0.56%"
"20/11/2018","1,221.20","1,224.60","1,229.50","1,220.30","255.20K","-0.33%"
"19/11/2018","1,225.30","1,222.60","1,226.50","1,218.50","198.39K","0.19%"
"16/11/2018","1,223.00","1,214.40","1,226.00","1,213.70","242.04K","0.66%"
"15/11/2018","1,215.00","1,211.80","1,217.00","1,207.10","253.57K","0.40%"
"14/11/2018","1,210.10","1,202.80","1,217.20","1,198.10","277.87K","0.72%"
"13/11/2018","1,201.40","1,201.10","1,205.50","1,196.60","248.93K","-0.17%"
"12/11/2018","1,203.50","1,210.30","1,212.00","1,200.60","203.64K","-0.42%"
"09/11/2018","1,208.60","1,224.30","1,224.60","1,207.20","322.35K","-1.35%"
"08/11/2018","1,225.10","1,227.70","1,228.50","1,220.80","239.02K","-0.29%"
"07/11/2018","1,228.70","1,228.90","1,238.40","1,224.20","259.29K","0.20%"
"06/11/2018","1,226.30","1,233.40","1,237.80","1,224.90","199.67K","-0.49%"
"05/11/2018","1,232.30","1,234.50","1,236.80","1,228.40","159.43K","-0.08%"
