"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"19/05/2021","1,881.50","1,870.20","1,891.30","1,852.20","398.21K","0.72%"
"18/05/2021","1,868.00","1,867.30","1,875.90","1,863.50","229.02K","0.02%"
"17/05/2021","1,867.60","1,845.90","1,869.30","1,841.10","267.71K","1.60%"
"14/05/2021","1,838.10","1,826.40","1,847.10","1,819.00","224.38K","0.77%"
"13/05/2021","1,824.00","1,816.20","1,829.10","1,808.40","249.93K","0.07%"
"12/05/2021","1,822.80","1,838.20","1,844.70","1,813.00","339.21K","-0.72%"
"11/05/2021","1,836.10","1,836.20","1,842.50","1,817.80","311.10K","-0.08%"
"10/05/2021","1,837.60","1,835.40","1,846.30","1,830.50","269.71K","0.34%"
"07/05/2021","1,831.30","1,815.40","1,844.60","1,813.40","367.70K","0.86%"
"06/05/2021","1,815.70","1,787.00","1,818.60","1,781.80","287.63K","1.76%"
"05/05/2021","1,784.30","1,778.40","1,788.10","1,769.30","178.81K","0.47%"
"04/05/2021","1,776.00","1,793.20","1,799.50","1,769.20","246.59K","-0.88%"
"03/05/2021","1,791.80","1,768.10","1,798.90","1,765.60","204.54K","1.36%"
"30/04/2021","1,767.70","1,772.40","1,773.30","1,763.30","167.29K","-0.03%"
"29/04/2021","1,768.30","1,781.90","1,789.90","1,754.60","231.52K","-0.29%"
"28/04/2021","1,773.50","1,775.50","1,780.00","1,762.50","0.76K","-0.26%"
"27/04/2021","1,778.20","1,780.30","1,784.30","1,773.90","0.27K","-0.07%"
"26/04/2021","1,779.40","1,775.00","1,782.50","1,768.20","0.75K","0.12%"
"23/04/2021","1,777.30","1,784.00","1,795.20","1,771.50","0.37K","-0.24%"
"22/04/2021","1,781.50","1,794.50","1,797.20","1,776.80","0.29K","-0.62%"
"21/04/2021","1,792.70","1,777.40","1,797.70","1,776.00","0.74K","0.85%"
"20/04/2021","1,777.60","1,769.50","1,779.20","1,763.00","1.09K","0.45%"
"19/04/2021","1,769.70","1,777.20","1,789.40","1,766.20","0.70K","-0.54%"
