"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"20/04/2023","2,009.80","1,996.50","2,014.50","1,994.20","0.42K","0.59%"
"19/04/2023","1,998.00","2,008.50","2,009.70","1,971.90","0.92K","-0.61%"
"18/04/2023","2,010.30","1,997.10","2,013.40","1,994.50","0.22K","0.64%"
"17/04/2023","1,997.60","2,004.80","2,018.20","1,984.60","0.74K","-0.44%"
"14/04/2023","2,006.50","2,044.90","2,051.90","1,996.70","1.48K","-1.92%"
"13/04/2023","2,045.80","2,019.50","2,053.00","2,019.50","0.93K","1.49%"
"12/04/2023","2,015.70","2,010.00","2,034.10","2,007.00","0.83K","0.28%"
"11/04/2023","2,010.00","1,996.70","2,013.40","1,996.20","0.46K","0.76%"
"10/04/2023","1,994.80","2,003.60","2,011.20","1,988.00","1.00K","-1.12%"
"06/04/2023","2,017.40","2,028.40","2,028.60","2,007.90","1.20K","-0.46%"
"05/04/2023","2,026.80","2,030.00","2,040.10","2,018.70","1.17K","-0.13%"
"04/04/2023","2,029.40","1,993.20","2,034.20","1,985.90","1.09K","1.91%"
"03/04/2023","1,991.30","1,982.60","1,998.50","1,956.90","0.76K","0.72%"
"31/03/2023","1,977.00","1,988.50","1,995.50","1,975.30","0.75K","-0.58%"
"30/03/2023","1,988.50","1,973.00","1,993.30","1,962.70","1.19K","1.10%"
"29/03/2023","1,966.90","1,975.40","1,976.00","1,959.50","88.56K","-0.33%"
"28/03/2023","1,973.50","1,957.80","1,977.10","1,949.90","183.58K","1.01%"
"27/03/2023","1,953.80","1,982.60","1,984.00","1,945.00","206.63K","-1.51%"
"24/03/2023","1,983.80","1,996.10","2,006.50","1,977.70","285.44K","-0.61%"
"23/03/2023","1,995.90","1,974.00","2,006.10","1,967.30","262.25K","2.37%"
"22/03/2023","1,949.60","1,943.50","1,982.30","1,936.50","245.03K","0.44%"
"21/03/2023","1,941.10","1,983.10","1,988.70","1,938.60","248.93K","-2.10%"
"20/03/2023","1,982.80","1,989.70","2,014.90","1,970.00","338.02K","0.47%"
"17/03/2023","1,973.50","1,925.90","1,993.70","1,922.30","351.09K","2.63%"
"16/03/2023","1,923.00","1,922.80","1,938.00","1,911.50","248.08K","-0.43%"
"15/03/2023","1,931.30","1,908.20","1,942.50","1,889.50","385.45K","1.07%"
"14/03/2023","1,910.90","1,919.40","1,919.40","1,899.80","261.28K","-0.29%"
"13/03/2023","1,916.50","1,877.10","1,919.50","1,875.70","452.33K","2.64%"
"10/03/2023","1,867.20","1,835.10","1,874.30","1,830.00","345.81K","1.78%"
"09/03/2023","1,834.60","1,818.00","1,839.40","1,815.40","228.47K","0.88%"
"08/03/2023","1,818.60","1,818.00","1,828.70","1,813.40","208.29K","-0.08%"
"07/03/2023","1,820.00","1,852.60","1,856.90","1,817.10","248.23K","-1.87%"
"06/03/2023","1,854.60","1,861.00","1,864.30","1,850.60","136.22K","0.00%"
"03/03/2023","1,854.60","1,842.10","1,864.40","1,842.00","158.96K","0.77%"
"02/03/2023","1,840.50","1,843.80","1,845.30","1,835.90","139.76K","-0.27%"
"01/03/2023","1,845.40","1,834.00","1,852.50","1,829.60","182.58K","0.47%"
"28/02/2023","1,836.70","1,823.90","1,838.60","1,810.80","184.51K","0.65%"
"27/02/2023","1,824.90","1,818.00","1,827.30","1,812.00","130.43K","0.87%"
"24/02/2023","1,809.20","1,825.20","1,827.10","1,808.80","0.40K","-0.53%"
"23/02/2023","1,818.80","1,823.60","1,832.70","1,818.30","0.65K","-0.79%"
"22/02/2023","1,833.30","1,837.00","1,846.40","1,825.10","0.57K","-0.05%"
"21/02/2023","1,834.20","1,842.00","1,848.00","1,831.10","0.91K","-0.45%"
"20/02/2023","1,842.50","1,850.50","1,856.40","1,839.00","210.17K","0.03%"
"17/02/2023","1,842.00","1,835.50","1,844.60","1,819.80","0.73K","-0.08%"
"16/02/2023","1,843.40","1,838.90","1,846.00","1,828.30","0.65K","0.35%"
"15/02/2023","1,837.00","1,856.30","1,861.70","1,831.80","0.78K","-1.08%"
"14/02/2023","1,857.00","1,856.00","1,871.00","1,845.00","0.72K","0.10%"
